method,gt,eta,seed,nfe,gen_ppl,entropy,num_unique,num_samples
eflm,linear,64.0,2,64,11.166511535644531,4.132599353790283,512,512
eflm,linear,64.0,3,64,10.989069938659668,4.072325706481934,512,512
eflm,linear,128.0,1,64,13.201461791992188,4.225947856903076,512,512
eflm,linear,128.0,2,64,13.217287063598633,4.244375228881836,512,512
eflm,linear,128.0,3,64,12.766605377197266,4.162968158721924,512,512
eflm,linear,1.0,1,128,10.696467399597168,3.821577548980713,512,512
eflm,linear,1.0,2,128,10.322505950927734,3.840646505355835,512,512
eflm,linear,1.0,3,128,11.017163276672363,3.804917812347412,512,512
eflm,linear,2.0,1,128,10.488299369812012,3.8357608318328857,512,512
eflm,linear,2.0,2,128,10.077210426330566,3.85595440864563,512,512
eflm,linear,2.0,3,128,10.687346458435059,3.8196043968200684,512,512
eflm,linear,4.0,1,128,10.097670555114746,3.861625909805298,512,512
eflm,linear,4.0,2,128,9.883319854736328,3.8889760971069336,512,512
eflm,linear,4.0,3,128,10.228387832641602,3.846747875213623,512,512
eflm,linear,8.0,1,128,9.78442668914795,3.9045400619506836,512,512
eflm,linear,8.0,2,128,9.54666519165039,3.9130780696868896,512,512
eflm,linear,8.0,3,128,9.895668029785156,3.881350040435791,512,512
eflm,linear,16.0,1,128,9.762462615966797,3.945452928543091,512,512
eflm,linear,16.0,2,128,9.62450122833252,3.9640161991119385,512,512
eflm,linear,16.0,3,128,9.65949535369873,3.925436019897461,512,512
eflm,linear,32.0,1,128,9.839956283569336,4.00258731842041,512,512
eflm,linear,32.0,2,128,9.77920913696289,4.024038314819336,512,512
eflm,linear,32.0,3,128,9.75764274597168,3.9952685832977295,512,512
eflm,linear,64.0,1,128,10.186554908752441,4.07531213760376,512,512
eflm,linear,64.0,2,128,10.19611644744873,4.094801902770996,512,512
eflm,linear,64.0,3,128,10.00541877746582,4.049982070922852,512,512
eflm,linear,128.0,1,128,10.522375106811523,4.130406379699707,512,512
eflm,linear,128.0,2,128,10.566377639770508,4.142292022705078,512,512
eflm,linear,128.0,3,128,10.489114761352539,4.098363876342773,512,512
eflm,linear,1.0,1,256,10.615519523620605,3.8273191452026367,512,512
eflm,linear,1.0,2,256,10.274282455444336,3.8561620712280273,512,512
eflm,linear,1.0,3,256,11.108531951904297,3.8153634071350098,512,512
eflm,linear,2.0,1,256,10.408487319946289,3.839918851852417,512,512
eflm,linear,2.0,2,256,9.99854850769043,3.8685967922210693,512,512
eflm,linear,2.0,3,256,10.57211685180664,3.8336589336395264,512,512
eflm,linear,4.0,1,256,10.003381729125977,3.857632637023926,512,512
eflm,linear,4.0,2,256,9.805949211120605,3.887805700302124,512,512
eflm,linear,4.0,3,256,10.15334415435791,3.849177837371826,512,512
eflm,linear,8.0,1,256,9.75333309173584,3.894881010055542,512,512
eflm,linear,8.0,2,256,9.568488121032715,3.9185056686401367,512,512
eflm,linear,8.0,3,256,9.784394264221191,3.8789844512939453,512,512
eflm,linear,16.0,1,256,9.528599739074707,3.9394216537475586,512,512
eflm,linear,16.0,2,256,9.438443183898926,3.9658684730529785,512,512
eflm,linear,16.0,3,256,9.574819564819336,3.927312135696411,512,512
eflm,linear,32.0,1,256,9.587214469909668,3.9984536170959473,512,512
eflm,linear,32.0,2,256,9.402349472045898,4.029279708862305,512,512
eflm,linear,32.0,3,256,9.710112571716309,3.9936535358428955,512,512
eflm,linear,64.0,1,256,9.62183952331543,4.055812358856201,512,512
eflm,linear,64.0,2,256,9.758834838867188,4.081371307373047,512,512
eflm,linear,64.0,3,256,9.850061416625977,4.044338226318359,512,512
eflm,linear,128.0,1,256,9.85912799835205,4.099802017211914,512,512
eflm,linear,128.0,2,256,9.798088073730469,4.111626625061035,512,512
eflm,linear,128.0,3,256,9.860461235046387,4.077999591827393,512,512
eflm,ode,0.0,1,4,32.65692138671875,3.4467051029205322,512,512
eflm,ode,0.0,2,4,28.789592742919922,3.4276559352874756,512,512
eflm,ode,0.0,3,4,38.643611907958984,3.104759693145752,512,512
eflm,ode,0.0,1,8,16.05211639404297,3.7007505893707275,512,512
eflm,ode,0.0,2,8,14.985391616821289,3.725158452987671,512,512
eflm,ode,0.0,3,8,18.35137367248535,3.6043996810913086,512,512
eflm,ode,0.0,1,16,12.900927543640137,3.760690689086914,512,512
eflm,ode,0.0,2,16,12.3447265625,3.7794270515441895,512,512
eflm,ode,0.0,3,16,13.94081974029541,3.7224714756011963,512,512
eflm,ode,0.0,1,32,11.978767395019531,3.787994384765625,512,512
eflm,ode,0.0,2,32,11.453145980834961,3.805396318435669,512,512
eflm,ode,0.0,3,32,12.564374923706055,3.7553532123565674,512,512
eflm,ode,0.0,1,64,11.52588176727295,3.796347141265869,512,512
eflm,ode,0.0,2,64,11.131217002868652,3.822685480117798,512,512
eflm,ode,0.0,3,64,12.132196426391602,3.7703824043273926,512,512
eflm,ode,0.0,1,128,11.331814765930176,3.8010191917419434,512,512
eflm,ode,0.0,2,128,10.97102165222168,3.8272435665130615,512,512
eflm,ode,0.0,3,128,11.92935848236084,3.7769229412078857,512,512
eflm,ode,0.0,1,180,11.289341926574707,3.80141019821167,512,512
eflm,ode,0.0,2,180,10.905990600585938,3.834801435470581,512,512
eflm,ode,0.0,3,180,11.87955379486084,3.7795865535736084,512,512
eflm,ode,0.0,1,256,11.206276893615723,3.805044174194336,512,512
eflm,ode,0.0,2,256,10.965935707092285,3.830709218978882,512,512
eflm,ode,0.0,3,256,11.811729431152344,3.781620502471924,512,512
eflm,p75,1.0,1,16,12.30012321472168,3.816051959991455,512,512
eflm,p75,1.0,2,16,11.629549026489258,3.842561960220337,512,512
eflm,p75,1.0,3,16,12.894155502319336,3.801992893218994,512,512
eflm,p75,2.0,1,16,12.325124740600586,3.8632640838623047,512,512
eflm,p75,2.0,2,16,11.56909465789795,3.8863365650177,512,512
eflm,p75,2.0,3,16,12.460295677185059,3.8395297527313232,512,512
eflm,p75,4.0,1,16,12.48304271697998,3.910802125930786,512,512
